NUM_START,NUM_END,NUM_LENGTH,NUM_SPECIAL,NUM_CATEGORY,NUM_SUB_CATEGORY,NUM_ALLOCATEE_OR_ASSIGNEE,NUM_REMARK
"000-","000-","N/A","","Others 其他","** Migration / Digit-upgrade 網絡升級用","** Reserved 預留",""
"001-","001-","N/A","","Access Code 接入碼","ETS, Prime IDD for Voice 國際長途語音服務","** All Operators (Universally allocated) 所有營辦商","Generally not passed across networks 號碼一般不跨網使用"
"002-","002-","N/A","","Access Code 接入碼","ETS, Prime IDD for Fax/Data 國際長途傳真/數據服務","** All Operators (Universally allocated) 所有營辦商","Generally not passed across networks 號碼一般不跨網使用"
"0030-","0030-","N/A","","Access Code 接入碼","","Hong Kong Broadband Network Limited 香港寬頻網絡有限公司","International Gateway 國際網關"
"0031-","0039-","N/A","","Access Code 接入碼","","** Spare - open for application 備用/供申請使用","International Gateway 國際網關"
"0040-","0049-","N/A","","Access Code 接入碼","","** Spare - open for application 備用/供申請使用","International Gateway 國際網關"
"0050-","0050-","N/A","","Access Code 接入碼","","ComNet Telecom (HK) Limited 信通電話(香港)有限公司","International Gateway 國際網關"
"0051-","0058-","N/A","","Access Code 接入碼","","** Spare - open for application 備用/供申請使用","International Gateway 國際網關"
"0059-","0059-","N/A","","Access Code 接入碼","","HKC Network Limited 中港網絡有限公司","International Gateway 國際網關"
"006-","006-","N/A","","Access Code 接入碼","","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","International Gateway 國際網關"
"007-","007-","N/A","","Access Code 接入碼","","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司","International Gateway 國際網關"
"008-","008-","N/A","","Access Code 接入碼","","HGC Global Communications Limited 環球全域電訊有限公司","International Gateway 國際網關"
"009-","009-","N/A","","Access Code 接入碼","","HKBN Enterprise Solutions Limited 香港寬頻企業方案有限公司","International Gateway 國際網關"
"01-","09-","N/A","","Access Code 接入碼","","** Reserved 預留","For future regional trunk access in the region 將來與本地區內其他地點建立的主幹接入"
"100","100-","<=7","","Short Code (cat. 2)  短碼(第二類)","FTNS 固網服務","PCCW-HKT Telephone Limited and Hong Kong Telecommunications (HKT) Limited","Enquiry/hotlines/Operator-assisted Services 查詢/熱線/話務員協助式服務"
"101","101","<=7","","Short Code (cat. 2)  短碼(第二類)","FTNS 固網服務","HKBN Enterprise Solutions HK Limited 香港寬頻企業方案香港有限公司","Enquiry/hotlines/Operator-assisted Services 查詢/熱線/話務員協助式服務"
"1020","1020","<=7","","Short Code 短碼","FTNS 固網服務","** Spare - open for application 備用/供申請使用",""
"1021","1021","<=7","","Short Code (cat. 2)  短碼(第二類)","FTNS 固網服務","ComNet Telecom (HK) Limited 信通電話(香港)有限公司","Enquiry/hotlines/Operator-assisted Services 查詢/熱線/話務員協助式服務"
"1022","1023","<=7","","Short Code 短碼","FTNS 固網服務","** Spare - open for application 備用/供申請使用",""
"1024","1024","<=7","","Short Code (cat. 2)  短碼(第二類)","FTNS 固網服務","** On Hold (previously assigned/allocated to SmarTone Communications Limited) 保留 (之前指配/編配予SmarTone Communications Limited)",""
"1025","1029","<=7","","Short Code 短碼","FTNS 固網服務","** Spare - open for application 備用/供申請使用",""
